sep=;
Time;cpu/usage_rate.sum;memory/usage.mean
2019-08-05T09:51:13.000Z;null;null
2019-08-05T09:51:14.000Z;null;null
2019-08-05T09:51:15.000Z;51;58325869.71428572
2019-08-05T09:51:16.000Z;null;null
2019-08-05T09:51:17.000Z;null;null
2019-08-05T09:51:18.000Z;null;null
2019-08-05T09:51:19.000Z;null;null
2019-08-05T09:51:20.000Z;null;null
2019-08-05T09:51:21.000Z;null;null
2019-08-05T09:51:22.000Z;null;null
2019-08-05T09:51:23.000Z;null;null
2019-08-05T09:51:24.000Z;null;null
2019-08-05T09:51:25.000Z;null;null
2019-08-05T09:51:26.000Z;null;null
2019-08-05T09:51:27.000Z;null;null
2019-08-05T09:51:28.000Z;null;null
2019-08-05T09:51:29.000Z;null;null
2019-08-05T09:51:30.000Z;168;58332891.428571425
2019-08-05T09:51:31.000Z;null;null
2019-08-05T09:51:32.000Z;null;null
2019-08-05T09:51:33.000Z;null;null
2019-08-05T09:51:34.000Z;null;null
2019-08-05T09:51:35.000Z;null;null
2019-08-05T09:51:36.000Z;null;null
2019-08-05T09:51:37.000Z;null;null
2019-08-05T09:51:38.000Z;null;null
2019-08-05T09:51:39.000Z;null;null
2019-08-05T09:51:40.000Z;null;null
2019-08-05T09:51:41.000Z;null;null
2019-08-05T09:51:42.000Z;null;null
2019-08-05T09:51:43.000Z;null;null
2019-08-05T09:51:44.000Z;null;null
2019-08-05T09:51:45.000Z;54;58332891.428571425
2019-08-05T09:51:46.000Z;null;null
2019-08-05T09:51:47.000Z;null;null
2019-08-05T09:51:48.000Z;null;null
2019-08-05T09:51:49.000Z;null;null
2019-08-05T09:51:50.000Z;null;null
2019-08-05T09:51:51.000Z;null;null
2019-08-05T09:51:52.000Z;null;null
2019-08-05T09:51:53.000Z;null;null
2019-08-05T09:51:54.000Z;null;null
2019-08-05T09:51:55.000Z;null;null
2019-08-05T09:51:56.000Z;null;null
2019-08-05T09:51:57.000Z;null;null
2019-08-05T09:51:58.000Z;null;null
2019-08-05T09:51:59.000Z;null;null
2019-08-05T09:52:00.000Z;63;58334646.85714286
2019-08-05T09:52:01.000Z;null;null
2019-08-05T09:52:02.000Z;null;null
2019-08-05T09:52:03.000Z;null;null
2019-08-05T09:52:04.000Z;null;null
2019-08-05T09:52:05.000Z;null;null
2019-08-05T09:52:06.000Z;null;null
2019-08-05T09:52:07.000Z;null;null
2019-08-05T09:52:08.000Z;null;null
2019-08-05T09:52:09.000Z;null;null
2019-08-05T09:52:10.000Z;null;null
2019-08-05T09:52:11.000Z;null;null
2019-08-05T09:52:12.000Z;null;null
2019-08-05T09:52:13.000Z;null;null
2019-08-05T09:52:14.000Z;null;null
2019-08-05T09:52:15.000Z;63;58518966.85714286
2019-08-05T09:52:16.000Z;null;null
2019-08-05T09:52:17.000Z;null;null
2019-08-05T09:52:18.000Z;null;null
2019-08-05T09:52:19.000Z;null;null
2019-08-05T09:52:20.000Z;null;null
2019-08-05T09:52:21.000Z;null;null
2019-08-05T09:52:22.000Z;null;null
2019-08-05T09:52:23.000Z;null;null
2019-08-05T09:52:24.000Z;null;null
2019-08-05T09:52:25.000Z;null;null
2019-08-05T09:52:26.000Z;null;null
2019-08-05T09:52:27.000Z;null;null
2019-08-05T09:52:28.000Z;null;null
2019-08-05T09:52:29.000Z;null;null
2019-08-05T09:52:30.000Z;141;58520722.28571428
2019-08-05T09:52:31.000Z;null;null
2019-08-05T09:52:32.000Z;null;null
2019-08-05T09:52:33.000Z;null;null
2019-08-05T09:52:34.000Z;null;null
2019-08-05T09:52:35.000Z;null;null
2019-08-05T09:52:36.000Z;null;null
2019-08-05T09:52:37.000Z;null;null
2019-08-05T09:52:38.000Z;null;null
2019-08-05T09:52:39.000Z;null;null
2019-08-05T09:52:40.000Z;null;null
2019-08-05T09:52:41.000Z;null;null
2019-08-05T09:52:42.000Z;null;null
2019-08-05T09:52:43.000Z;null;null
2019-08-05T09:52:44.000Z;null;null
2019-08-05T09:52:45.000Z;48;58520722.28571428
2019-08-05T09:52:46.000Z;null;null
2019-08-05T09:52:47.000Z;null;null
2019-08-05T09:52:48.000Z;null;null
2019-08-05T09:52:49.000Z;null;null
2019-08-05T09:52:50.000Z;null;null
2019-08-05T09:52:51.000Z;null;null
2019-08-05T09:52:52.000Z;null;null
2019-08-05T09:52:53.000Z;null;null
2019-08-05T09:52:54.000Z;null;null
2019-08-05T09:52:55.000Z;null;null
2019-08-05T09:52:56.000Z;null;null
2019-08-05T09:52:57.000Z;null;null
2019-08-05T09:52:58.000Z;null;null
2019-08-05T09:52:59.000Z;null;null
2019-08-05T09:53:00.000Z;63;58520722.28571428
2019-08-05T09:53:01.000Z;null;null
2019-08-05T09:53:02.000Z;null;null
2019-08-05T09:53:03.000Z;null;null
2019-08-05T09:53:04.000Z;null;null
2019-08-05T09:53:05.000Z;null;null
2019-08-05T09:53:06.000Z;null;null
2019-08-05T09:53:07.000Z;null;null
2019-08-05T09:53:08.000Z;null;null
2019-08-05T09:53:09.000Z;null;null
2019-08-05T09:53:10.000Z;null;null
2019-08-05T09:53:11.000Z;null;null
2019-08-05T09:53:12.000Z;null;null
2019-08-05T09:53:13.000Z;null;null
2019-08-05T09:53:14.000Z;null;null
2019-08-05T09:53:15.000Z;45;58294272
2019-08-05T09:53:16.000Z;null;null
2019-08-05T09:53:17.000Z;null;null
2019-08-05T09:53:18.000Z;null;null
2019-08-05T09:53:19.000Z;null;null
2019-08-05T09:53:20.000Z;null;null
2019-08-05T09:53:21.000Z;null;null
2019-08-05T09:53:22.000Z;null;null
2019-08-05T09:53:23.000Z;null;null
2019-08-05T09:53:24.000Z;null;null
2019-08-05T09:53:25.000Z;null;null
2019-08-05T09:53:26.000Z;null;null
2019-08-05T09:53:27.000Z;null;null
2019-08-05T09:53:28.000Z;null;null
2019-08-05T09:53:29.000Z;null;null
2019-08-05T09:53:30.000Z;45;58294272
2019-08-05T09:53:31.000Z;null;null
2019-08-05T09:53:32.000Z;null;null
2019-08-05T09:53:33.000Z;null;null
2019-08-05T09:53:34.000Z;null;null
2019-08-05T09:53:35.000Z;null;null
2019-08-05T09:53:36.000Z;null;null
2019-08-05T09:53:37.000Z;null;null
2019-08-05T09:53:38.000Z;null;null
2019-08-05T09:53:39.000Z;null;null
2019-08-05T09:53:40.000Z;null;null
2019-08-05T09:53:41.000Z;null;null
2019-08-05T09:53:42.000Z;null;null
2019-08-05T09:53:43.000Z;null;null
2019-08-05T09:53:44.000Z;null;null
2019-08-05T09:53:45.000Z;204;58724352
2019-08-05T09:53:46.000Z;null;null
2019-08-05T09:53:47.000Z;null;null
2019-08-05T09:53:48.000Z;null;null
2019-08-05T09:53:49.000Z;null;null
2019-08-05T09:53:50.000Z;null;null
2019-08-05T09:53:51.000Z;null;null
2019-08-05T09:53:52.000Z;null;null
2019-08-05T09:53:53.000Z;null;null
2019-08-05T09:53:54.000Z;null;null
2019-08-05T09:53:55.000Z;null;null
2019-08-05T09:53:56.000Z;null;null
2019-08-05T09:53:57.000Z;null;null
2019-08-05T09:53:58.000Z;null;null
2019-08-05T09:53:59.000Z;null;null
2019-08-05T09:54:00.000Z;57;58396086.85714286
2019-08-05T09:54:01.000Z;null;null
2019-08-05T09:54:02.000Z;null;null
2019-08-05T09:54:03.000Z;null;null
2019-08-05T09:54:04.000Z;null;null
2019-08-05T09:54:05.000Z;null;null
2019-08-05T09:54:06.000Z;null;null
2019-08-05T09:54:07.000Z;null;null
2019-08-05T09:54:08.000Z;null;null
2019-08-05T09:54:09.000Z;null;null
2019-08-05T09:54:10.000Z;null;null
2019-08-05T09:54:11.000Z;null;null
2019-08-05T09:54:12.000Z;null;null
2019-08-05T09:54:13.000Z;null;null
2019-08-05T09:54:14.000Z;null;null
2019-08-05T09:54:15.000Z;48;58406619.428571425
2019-08-05T09:54:16.000Z;null;null
2019-08-05T09:54:17.000Z;null;null
2019-08-05T09:54:18.000Z;null;null
2019-08-05T09:54:19.000Z;null;null
2019-08-05T09:54:20.000Z;null;null
2019-08-05T09:54:21.000Z;null;null
2019-08-05T09:54:22.000Z;null;null
2019-08-05T09:54:23.000Z;null;null
2019-08-05T09:54:24.000Z;null;null
2019-08-05T09:54:25.000Z;null;null
2019-08-05T09:54:26.000Z;null;null
2019-08-05T09:54:27.000Z;null;null
2019-08-05T09:54:28.000Z;null;null
2019-08-05T09:54:29.000Z;null;null
2019-08-05T09:54:30.000Z;255;58417152
2019-08-05T09:54:31.000Z;null;null
2019-08-05T09:54:32.000Z;null;null
2019-08-05T09:54:33.000Z;null;null
2019-08-05T09:54:34.000Z;null;null
2019-08-05T09:54:35.000Z;null;null
2019-08-05T09:54:36.000Z;null;null
2019-08-05T09:54:37.000Z;null;null
2019-08-05T09:54:38.000Z;null;null
2019-08-05T09:54:39.000Z;null;null
2019-08-05T09:54:40.000Z;null;null
2019-08-05T09:54:41.000Z;null;null
2019-08-05T09:54:42.000Z;null;null
2019-08-05T09:54:43.000Z;null;null
2019-08-05T09:54:44.000Z;null;null
2019-08-05T09:54:45.000Z;51;58418907.428571425
2019-08-05T09:54:46.000Z;null;null
2019-08-05T09:54:47.000Z;null;null
2019-08-05T09:54:48.000Z;null;null
2019-08-05T09:54:49.000Z;null;null
2019-08-05T09:54:50.000Z;null;null
2019-08-05T09:54:51.000Z;null;null
2019-08-05T09:54:52.000Z;null;null
2019-08-05T09:54:53.000Z;null;null
2019-08-05T09:54:54.000Z;null;null
2019-08-05T09:54:55.000Z;null;null
2019-08-05T09:54:56.000Z;null;null
2019-08-05T09:54:57.000Z;null;null
2019-08-05T09:54:58.000Z;null;null
2019-08-05T09:54:59.000Z;null;null
2019-08-05T09:55:00.000Z;51;58418907.428571425
2019-08-05T09:55:01.000Z;null;null
2019-08-05T09:55:02.000Z;null;null
2019-08-05T09:55:03.000Z;null;null
2019-08-05T09:55:04.000Z;null;null
2019-08-05T09:55:05.000Z;null;null
2019-08-05T09:55:06.000Z;null;null
2019-08-05T09:55:07.000Z;null;null
2019-08-05T09:55:08.000Z;null;null
2019-08-05T09:55:09.000Z;null;null
2019-08-05T09:55:10.000Z;null;null
2019-08-05T09:55:11.000Z;null;null
2019-08-05T09:55:12.000Z;null;null
2019-08-05T09:55:13.000Z;null;null
2019-08-05T09:55:14.000Z;null;null
2019-08-05T09:55:15.000Z;57;58601472
2019-08-05T09:55:16.000Z;null;null
2019-08-05T09:55:17.000Z;null;null
2019-08-05T09:55:18.000Z;null;null
2019-08-05T09:55:19.000Z;null;null
2019-08-05T09:55:20.000Z;null;null
2019-08-05T09:55:21.000Z;null;null
2019-08-05T09:55:22.000Z;null;null
2019-08-05T09:55:23.000Z;null;null
2019-08-05T09:55:24.000Z;null;null
2019-08-05T09:55:25.000Z;null;null
2019-08-05T09:55:26.000Z;null;null
2019-08-05T09:55:27.000Z;null;null
2019-08-05T09:55:28.000Z;null;null
2019-08-05T09:55:29.000Z;null;null
2019-08-05T09:55:30.000Z;249;58529499.428571425
2019-08-05T09:55:31.000Z;null;null
2019-08-05T09:55:32.000Z;null;null
2019-08-05T09:55:33.000Z;null;null
2019-08-05T09:55:34.000Z;null;null
2019-08-05T09:55:35.000Z;null;null
2019-08-05T09:55:36.000Z;null;null
2019-08-05T09:55:37.000Z;null;null
2019-08-05T09:55:38.000Z;null;null
2019-08-05T09:55:39.000Z;null;null
2019-08-05T09:55:40.000Z;null;null
2019-08-05T09:55:41.000Z;null;null
2019-08-05T09:55:42.000Z;null;null
2019-08-05T09:55:43.000Z;null;null
2019-08-05T09:55:44.000Z;null;null
2019-08-05T09:55:45.000Z;45;58531254.85714286
2019-08-05T09:55:46.000Z;null;null
